team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,Offensive_rebound_perc
PHI,TOR,2023-03-31,77,13,33,0.3939393939393939
UTA,BOS,2023-03-31,77,16,51,0.3137254901960784
MEM,LAC,2023-03-31,77,14,56,0.25
CHI,CHA,2023-03-31,77,10,45,0.2222222222222222
BKN,ATL,2023-03-31,77,10,40,0.25
BOS,UTA,2023-03-31,78,14,55,0.2545454545454545
ATL,BKN,2023-03-31,77,20,54,0.3703703703703703
LAC,MEM,2023-03-31,78,13,57,0.2280701754385964
DET,HOU,2023-03-31,77,16,51,0.3137254901960784
MIN,LAL,2023-03-31,78,13,55,0.2363636363636363
HOU,DET,2023-03-31,78,19,49,0.3877551020408163
LAL,MIN,2023-03-31,77,18,47,0.3829787234042553
DEN,PHX,2023-03-31,77,18,60,0.3
PHX,DEN,2023-03-31,77,17,54,0.3148148148148148
SAC,POR,2023-03-31,77,10,36,0.2777777777777778
SAS,GSW,2023-03-31,77,18,53,0.3396226415094339
POR,SAC,2023-03-31,77,15,50,0.3
GSW,SAS,2023-03-31,78,17,51,0.3333333333333333
NOP,LAC,2023-04-01,78,16,46,0.3478260869565217
DAL,MIA,2023-04-01,78,1,30,0.0333333333333333
LAC,NOP,2023-04-01,79,15,45,0.3333333333333333
MIA,DAL,2023-04-01,78,13,43,0.3023255813953488
CHA,TOR,2023-04-02,79,13,44,0.2954545454545454
TOR,CHA,2023-04-02,78,20,48,0.4166666666666667
MEM,CHI,2023-04-02,78,11,46,0.2391304347826087
CHI,MEM,2023-04-02,78,6,47,0.1276595744680851
POR,MIN,2023-04-02,78,14,57,0.2456140350877192
MIN,POR,2023-04-02,79,9,43,0.2093023255813953
BKN,UTA,2023-04-02,78,9,51,0.1764705882352941
UTA,BKN,2023-04-02,78,16,54,0.2962962962962963
WAS,NYK,2023-04-02,78,8,41,0.1951219512195122
NYK,WAS,2023-04-02,79,9,44,0.2045454545454545
DAL,ATL,2023-04-02,79,13,52,0.25
SAC,SAS,2023-04-02,78,19,58,0.3275862068965517
SAS,SAC,2023-04-02,78,17,48,0.3541666666666667
DET,ORL,2023-04-02,78,13,50,0.26
ORL,DET,2023-04-02,78,10,39,0.2564102564102564
ATL,DAL,2023-04-02,78,19,60,0.3166666666666666
HOU,LAL,2023-04-02,79,18,60,0.3
LAL,HOU,2023-04-02,78,12,44,0.2727272727272727
OKC,PHX,2023-04-02,79,20,56,0.3571428571428571
PHX,OKC,2023-04-02,78,7,37,0.1891891891891892
CLE,IND,2023-04-02,79,14,48,0.2916666666666667
MIL,PHI,2023-04-02,78,11,37,0.2972972972972973
IND,CLE,2023-04-02,79,15,49,0.3061224489795918
GSW,DEN,2023-04-02,79,29,63,0.4603174603174603
PHI,MIL,2023-04-02,78,12,48,0.25
DEN,GSW,2023-04-02,78,21,56,0.375
TOR,CHA,2023-04-04,79,12,49,0.2448979591836734
MIA,DET,2023-04-04,79,9,39,0.2307692307692307
MIN,BKN,2023-04-04,80,13,47,0.2765957446808511
BKN,MIN,2023-04-04,79,14,53,0.2641509433962264
CHA,TOR,2023-04-04,80,9,41,0.2195121951219512
CLE,ORL,2023-04-04,80,9,44,0.2045454545454545
ORL,CLE,2023-04-04,79,15,44,0.3409090909090909
MIL,WAS,2023-04-04,79,16,51,0.3137254901960784
DET,MIA,2023-04-04,79,8,38,0.2105263157894736
WAS,MIL,2023-04-04,79,10,55,0.1818181818181818
MEM,POR,2023-04-04,79,9,47,0.1914893617021276
POR,MEM,2023-04-04,79,15,58,0.2586206896551724
UTA,LAL,2023-04-04,79,9,46,0.1956521739130435
LAL,UTA,2023-04-04,79,15,52,0.2884615384615384
ATL,CHI,2023-04-04,79,11,39,0.282051282051282
PHI,BOS,2023-04-04,79,9,40,0.225
BOS,PHI,2023-04-04,79,19,56,0.3392857142857143
SAC,NOP,2023-04-04,79,13,45,0.2888888888888888
CHI,ATL,2023-04-04,79,6,48,0.125
NOP,SAC,2023-04-04,79,15,49,0.3061224489795918
PHX,SAS,2023-04-04,79,20,49,0.4081632653061224
SAS,PHX,2023-04-04,79,13,57,0.2280701754385964
DEN,HOU,2023-04-04,79,14,51,0.2745098039215686
HOU,DEN,2023-04-04,80,25,60,0.4166666666666667
GSW,OKC,2023-04-04,80,23,52,0.4423076923076923
OKC,GSW,2023-04-04,80,15,55,0.2727272727272727
DET,BKN,2023-04-05,80,13,43,0.3023255813953488
BKN,DET,2023-04-05,80,16,44,0.3636363636363636
NYK,IND,2023-04-05,80,25,53,0.4716981132075472
IND,NYK,2023-04-05,80,13,45,0.2888888888888888
CHI,MIL,2023-04-05,80,7,48,0.1458333333333333
ATL,WAS,2023-04-05,80,14,42,0.3333333333333333
MIL,CHI,2023-04-05,80,16,54,0.2962962962962963
BOS,TOR,2023-04-05,80,18,55,0.3272727272727272
WAS,ATL,2023-04-05,80,15,53,0.2830188679245283
TOR,BOS,2023-04-05,80,15,55,0.2727272727272727
SAC,DAL,2023-04-05,80,27,61,0.4426229508196721
MEM,NOP,2023-04-05,80,19,58,0.3275862068965517
DAL,SAC,2023-04-05,80,10,46,0.217391304347826
NOP,MEM,2023-04-05,80,13,50,0.26
LAC,LAL,2023-04-05,80,5,41,0.1219512195121951
LAL,LAC,2023-04-05,80,11,46,0.2391304347826087
ORL,CLE,2023-04-06,80,15,50,0.3
PHI,MIA,2023-04-06,80,4,38,0.1052631578947368
UTA,OKC,2023-04-06,80,7,44,0.1590909090909091
MIA,PHI,2023-04-06,80,11,40,0.275
SAS,POR,2023-04-06,80,25,60,0.4166666666666667
POR,SAS,2023-04-06,80,14,47,0.2978723404255319
DEN,PHX,2023-04-06,80,15,42,0.3571428571428571
OKC,UTA,2023-04-06,81,21,61,0.3442622950819672
CLE,ORL,2023-04-06,81,10,42,0.238095238095238
PHX,DEN,2023-04-06,80,10,41,0.2439024390243902
GSW,SAC,2023-04-07,81,15,39,0.3846153846153846
PHX,LAL,2023-04-07,81,17,63,0.2698412698412698
SAC,GSW,2023-04-07,81,20,62,0.3225806451612903
LAL,PHX,2023-04-07,81,13,48,0.2708333333333333
MIA,WAS,2023-04-07,81,16,58,0.2758620689655172
ORL,BKN,2023-04-07,81,20,57,0.3508771929824561
IND,DET,2023-04-07,81,12,46,0.2608695652173913
CHA,HOU,2023-04-07,81,14,52,0.2692307692307692
DET,IND,2023-04-07,81,12,49,0.2448979591836734
HOU,CHA,2023-04-07,81,16,51,0.3137254901960784
BKN,ORL,2023-04-07,81,12,54,0.2222222222222222
BOS,TOR,2023-04-07,81,16,39,0.4102564102564102
WAS,MIA,2023-04-07,81,14,49,0.2857142857142857
TOR,BOS,2023-04-07,81,15,56,0.2678571428571428
PHI,ATL,2023-04-07,81,17,54,0.3148148148148148
NYK,NOP,2023-04-07,81,12,54,0.2222222222222222
MIL,MEM,2023-04-07,81,16,51,0.3137254901960784
NOP,NYK,2023-04-07,81,6,38,0.1578947368421052
ATL,PHI,2023-04-07,81,6,47,0.1276595744680851
MEM,MIL,2023-04-07,81,12,42,0.2857142857142857
CHI,DAL,2023-04-07,81,8,45,0.1777777777777777
DAL,CHI,2023-04-07,81,10,54,0.1851851851851851
DEN,UTA,2023-04-08,81,8,52,0.1538461538461538
UTA,DEN,2023-04-08,81,20,58,0.3448275862068966
LAC,POR,2023-04-08,81,17,46,0.3695652173913043
POR,LAC,2023-04-08,81,7,46,0.1521739130434782
SAS,MIN,2023-04-08,81,13,47,0.2765957446808511
MIN,SAS,2023-04-08,81,12,49,0.2448979591836734
MIL,TOR,2023-04-09,82,7,46,0.1521739130434782
TOR,MIL,2023-04-09,82,11,47,0.2340425531914893
NYK,IND,2023-04-09,82,22,60,0.3666666666666666
NOP,MIN,2023-04-09,82,16,52,0.3076923076923077
HOU,WAS,2023-04-09,82,13,52,0.25
CHA,CLE,2023-04-09,82,13,46,0.2826086956521739
CLE,CHA,2023-04-09,82,13,54,0.2407407407407407
CHI,DET,2023-04-09,82,12,57,0.2105263157894736
ATL,BOS,2023-04-09,82,17,54,0.3148148148148148
WAS,HOU,2023-04-09,82,16,58,0.2758620689655172
BKN,PHI,2023-04-09,82,11,50,0.22
BOS,ATL,2023-04-09,82,14,48,0.2916666666666667
DET,CHI,2023-04-09,82,18,55,0.3272727272727272
PHI,BKN,2023-04-09,82,18,51,0.3529411764705882
MIA,ORL,2023-04-09,82,10,41,0.2439024390243902
ORL,MIA,2023-04-09,82,15,56,0.2678571428571428
IND,NYK,2023-04-09,82,9,46,0.1956521739130435
OKC,MEM,2023-04-09,82,13,47,0.2765957446808511
PHX,LAC,2023-04-09,82,16,59,0.2711864406779661
DEN,SAC,2023-04-09,82,21,46,0.4565217391304347
LAL,UTA,2023-04-09,82,13,52,0.25
DAL,SAS,2023-04-09,82,9,65,0.1384615384615384
SAS,DAL,2023-04-09,82,16,57,0.2807017543859649
GSW,POR,2023-04-09,82,9,38,0.2368421052631578
UTA,LAL,2023-04-09,82,10,51,0.196078431372549
LAC,PHX,2023-04-09,82,18,56,0.3214285714285714
MEM,OKC,2023-04-09,82,12,55,0.2181818181818181
POR,GSW,2023-04-09,82,11,61,0.180327868852459
SAC,DEN,2023-04-09,82,12,50,0.24
MIN,NOP,2023-04-09,82,11,49,0.2244897959183673
